# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	2531	3955	-							BEWA_017460	1425		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	2531	3955	-			AFZ78905.1	hypothetical protein			BEWA_017460	1425		partial
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	2531	3955	-	AFZ78905.1			hypothetical protein			BEWA_017460	1425	474	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	5352	7274	+							BEWA_017470	1923		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	5352	7274	+			AFZ78906.1	hypothetical protein			BEWA_017470	1923		partial
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	5352	7274	+	AFZ78906.1			hypothetical protein			BEWA_017470	1923	640	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	7885	8666	+							BEWA_017480	782		
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	7885	8666	+			AFZ78907.1	Cytochrome b5-like Heme/Steroid binding domain containing protein			BEWA_017480	782		
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	7951	8415	+	AFZ78907.1			Cytochrome b5-like Heme/Steroid binding domain containing protein			BEWA_017480	465	154	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	10079	14635	+							BEWA_017490	4557		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	10079	14635	+			AFZ78908.1	ABC transporter, ATP-binding protein domain containing protein			BEWA_017490	4557		partial
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	10079	14635	+	AFZ78908.1			ABC transporter, ATP-binding protein domain containing protein			BEWA_017490	4557	1518	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	15862	17562	-							BEWA_017500	1701		
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	15862	17562	-			AFZ78909.1	hypothetical protein			BEWA_017500	1594		
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	16355	17442	-	AFZ78909.1			hypothetical protein			BEWA_017500	981	326	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	18201	19358	+							BEWA_017510	1158		
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	18201	19358	+			AFZ78910.1	kinase, pfkB family member protein			BEWA_017510	1158		
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	18283	19299	+	AFZ78910.1			kinase, pfkB family member protein			BEWA_017510	1017	338	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	20602	21605	-							BEWA_017520	1004		
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	20602	21605	-			AFZ78911.1	serine/threonine protein phosphatase pp-x, putative			BEWA_017520	969		
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	20646	21598	-	AFZ78911.1			serine/threonine protein phosphatase pp-x, putative			BEWA_017520	918	305	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	21666	22713	-							BEWA_017530	1048		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	21666	22713	-			AFZ78912.1	hypothetical protein			BEWA_017530	975		partial
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	21666	22713	-	AFZ78912.1			hypothetical protein			BEWA_017530	975	324	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	22838	24507	-							BEWA_017540	1670		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	22838	24507	-			AFZ78913.1	prolyl-tRNA synthetase, putative			BEWA_017540	1614		partial
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	22838	24507	-	AFZ78913.1			prolyl-tRNA synthetase, putative			BEWA_017540	1614	537	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	24874	26220	+							BEWA_017550	1347		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	24874	26220	+			AFZ78914.1	histone deacetylase, putative			BEWA_017550	1347		partial
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	24874	26220	+	AFZ78914.1			histone deacetylase, putative			BEWA_017550	1347	448	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	26345	26887	-							BEWA_017560	543		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	26345	26887	-			AFZ78915.1	yippee zinc binding protein family member protein			BEWA_017560	372		partial
CDS	with_protein	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	26345	26887	-	AFZ78915.1			yippee zinc binding protein family member protein			BEWA_017560	372	123	
gene	protein_coding	GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	27036	27461	-							BEWA_017570	426		partial
mRNA		GCA_000342415.1	Primary Assembly	chromosome	1	CP001669.1	27036	27461	-			AFZ78916.1	thioredoxin, putative			BEWA_017570	390		partial
