# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	198	368	-							TOT_010000001	171		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	198	368	-	BAM38532.1			hypothetical protein			TOT_010000001	171	56	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	505	1463	-							TOT_010000002	959		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	505	1463	-	BAM38533.1			conserved hypothetical protein			TOT_010000002	615	204	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	1805	10431	-							TOT_010000003	8627		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	1805	10431	-	BAM38534.1			conserved hypothetical protein			TOT_010000003	8487	2828	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	13629	18194	-							TOT_010000004	4566		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	13629	18194	-	BAM38535.1			uncharacterized protein			TOT_010000004	4566	1521	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	19482	21044	+							TOT_010000005	1563		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	19482	21044	+	BAM38536.1			conserved hypothetical protein			TOT_010000005	1563	520	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	21857	26371	-							TOT_010000006	4515		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	21857	26371	-	BAM38537.1			uncharacterized protein			TOT_010000006	4515	1504	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	26724	28563	-							TOT_010000007	1840		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	26724	28563	-	BAM38538.1			hypothetical protein			TOT_010000007	564	187	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	29844	34412	+							TOT_010000008	4569		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	29844	34412	+	BAM38539.1			ABC transporter			TOT_010000008	4569	1522	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	34817	40431	+							TOT_010000009	5615		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	34817	40431	+	BAM38540.1			conserved hypothetical protein			TOT_010000009	5415	1804	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	41144	41802	-							TOT_010001198	659		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	41144	41802	-	BAM38541.1			protein kinase C inhibitor			TOT_010001198	543	180	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	41990	43062	-							TOT_010000011	1073		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	41990	43062	-	BAM38542.1			exosome complex exonuclease			TOT_010000011	891	296	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	43288	47715	-							TOT_010000012	4428		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	43288	47715	-	BAM38543.1			uncharacterized protein			TOT_010000012	4305	1434	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	48361	50837	+							TOT_010000013	2477		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	48361	50837	+	BAM38544.1			uncharacterized protein			TOT_010000013	2199	732	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	51162	53982	-							TOT_010000014	2821		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	51162	53982	-	BAM38545.1			sortilin			TOT_010000014	2535	844	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	54970	57886	+							TOT_010000015	2917		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	54970	57886	+	BAM38546.1			uncharacterized protein			TOT_010000015	2559	852	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	58100	58548	+							TOT_010000016	449		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	58100	58548	+	BAM38547.1			uncharacterized protein			TOT_010000016	387	128	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	58806	59888	+							TOT_010000017	1083		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	58806	59888	+	BAM38548.1			conserved hypothetical protein			TOT_010000017	1083	360	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	60077	61520	+							TOT_010000018	1444		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	60077	61520	+	BAM38549.1			conserved hypothetical protein			TOT_010000018	1404	467	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	62015	73155	-							TOT_010000019	11141		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	62015	73155	-	BAM38550.1			cysteine desulfurase			TOT_010000019	9387	3128	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	74224	75598	-							TOT_010000020	1375		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	74224	75598	-	BAM38551.1			uncharacterized protein			TOT_010000020	1110	369	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	75914	78226	+							TOT_010000021	2313		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	75914	78226	+	BAM38552.1			conserved hypothetical protein			TOT_010000021	2196	731	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	78231	78737	-							TOT_010001199	507		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	78231	78737	-	BAM38553.1			conserved hypothetical protein			TOT_010001199	507	168	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	79191	80500	+							TOT_010000023	1310		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	79191	80500	+	BAM38554.1			uncharacterized protein			TOT_010000023	1134	377	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	80640	81704	+							TOT_010000024	1065		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	80640	81704	+	BAM38555.1			DNA-directed RNA polymerase II			TOT_010000024	1065	354	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	81784	82995	+							TOT_010000025	1212		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	81784	82995	+	BAM38556.1			alkylated DNA repair protein			TOT_010000025	1053	350	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	83260	85364	+							TOT_010001200	2105		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	83260	85364	+	BAM38557.1			aspartyl/glutamyl-tRNA amido transferase			TOT_010001200	2022	673	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	85353	87110	-							TOT_010001201	1758		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	85353	87110	-	BAM38558.1			conserved hypothetical protein			TOT_010001201	1647	548	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	87625	90311	-							TOT_010001202	2687		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	87625	90311	-	BAM38559.1			conserved hypothetical protein			TOT_010001202	2610	869	
